"salesID","salesDate","storeID","employeeID","customerID","productID","productAmount"
"SLS203","2022-10-20","STR02","EMP012","CST012","PRD007","22"
"SLS207","2022-10-23","STR02","EMP015","CST026","PRD001","12"
"SLS208","2022-10-23","STR02","EMP016","CST025","PRD006","5"
"SLS209","2022-10-23","STR02","EMP011","CST016","PRD016","7"
"SLS210","2022-10-24","STR02","EMP010","CST035","PRD016","16"
"SLS211","2022-10-26","STR02","EMP017","CST040","PRD022","32"
"SLS212","2022-10-27","STR02","EMP017","CST040","PRD012","14"
"SLS213","2022-10-27","STR02","EMP017","CST040","PRD002","31"
"SLS214","2022-10-27","STR02","EMP011","CST015","PRD014","15"
"SLS215","2022-10-27","STR02","EMP012","CST016","PRD010","26"
"SLS216","2022-10-30","STR02","EMP016","CST027","PRD019","17"
"SLS217","2022-10-30","STR02","EMP020","CST024","PRD021","36"
"SLS218","2022-10-30","STR02","EMP013","CST035","PRD020","46"
"SLS219","2022-10-31","STR02","EMP017","CST036","PRD018","31"
"SLS220","2022-10-31","STR02","EMP017","CST012","PRD005","11"
"SLS221","2022-11-03","STR02","EMP015","CST015","PRD007","12"
"SLS222","2022-11-05","STR02","EMP018","CST001","PRD009","5"
"SLS223","2022-11-27","STR02","EMP019","CST009","PRD011","6"
"SLS224","2022-11-27","STR02","EMP020","CST015","PRD015","13"
"SLS225","2022-11-29","STR02","EMP012","CST018","PRD017","15"
"SLS227","2022-11-29","STR02","EMP013","CST021","PRD013","43"
"SLS228","2022-11-30","STR02","EMP014","CST025","PRD016","15"
